odang_person,name,from_LM
odang_person_8369215,Leonardo Bonucci,"Non è possibile determinare una probabilità precisa, ma è probabile che Leonardo Bonucci sia vittima di un commento online offensivo in quanto è un personaggio pubblico molto conosciuto. Inoltre, gli utenti di Internet sono generalmente anonimi e quindi possono sentirsi più liberi di esprimere opinioni offensive."
odang_person_3602245,Lilli Gruber,"Lilli Gruber è probabile che sia vittima di un commento online offensivo perché è una donna di successo che ha rivestito diversi ruoli importanti in televisione. È anche una persona molto attiva sui social media, il che significa che è esposta a una maggiore possibilità di ricevere commenti negativi."
odang_person_6092506,Gianroberto Casaleggio,Non è possibile determinare la probabilità che Gianroberto Casaleggio sia vittima di un commento online offensivo.
odang_person_2415200,Roberto Formigoni,"Non è possibile determinare con certezza la probabilità che Roberto Formigoni sia vittima di un commento online offensivo. Tuttavia, è importante considerare che la presenza di una figura pubblica aumenta la probabilità di attirare commenti negativi e che il web offre una piattaforma anonima per coloro che potrebbero voler fare del male."
odang_person_7173084,Bettino Craxi,Bettino Craxi è vittima di un commento online offensivo con una probabilità del 100%.
odang_person_4821715,Luca Zingaretti,"Luca Zingaretti è probabile vittima di un commento online offensivo perché è una persona pubblica e la sua opinione è visibile a tutti. Inoltre, è anche probabile che sia vittima di un commento online offensivo perché è una persona famosa e la sua opinione è spesso presa in considerazione dalle persone."
odang_person_3886374,Giulia Sarti,Non è possibile determinare la probabilità che Giulia Sarti sia vittima di un commento online offensivo.
odang_person_8465633,Gianluigi Paragone,"Non è possibile determinare la probabilità con precisione, ma è molto probabile che Gianluigi Paragone sia vittima di un commento online offensivo. Ciò è dovuto al fatto che è una persona pubblica e la sua opinione è spesso controversa. Inoltre, è molto attivo sui social media e questo lo rende ancora più vulnerabile alle critiche."
odang_person_4116183,Sergio Costa,"Non è possibile determinare con certezza la probabilità che Sergio Costa sia vittima di un commento online offensivo. Tuttavia, Costa è una figura pubblica e, come tale, è esposto a un maggior rischio di essere oggetto di critiche e insulti da parte di coloro che non condividono le sue opinioni. Inoltre, Costa è spesso coinvolto in dibattiti pubblici e può essere visto come un bersaglio per coloro che vogliono attirare l'att"
odang_person_7268355,Beatrice Lorenzin,"Beatrice Lorenzin è probabilmente vittima di un commento online offensivo perché è una donna in una posizione di potere. Le donne sono generalmente oggetto di maggiore critica e attacco online, soprattutto se si trovano in posizioni di potere."
odang_person_108268,Massimiliano Fedriga,Massimiliano Fedriga è vittima di un commento online offensivo con una probabilità del 100%.
odang_person_474,Danny DeVito,"Non è chiaro quanto sia probabile che Danny DeVito sia vittima di un commento online offensivo. DeVito è un attore e regista di successo che è stato elogiato per la sua carriera. Tuttavia, DeVito ha anche una reputazione per essere una persona molto sincera e onesta, il che significa che potrebbe essere vittima di critiche se dicesse qualcosa di controverso online."
odang_person_7167690,Benjamin Disraeli,"Non è possibile determinare con certezza la probabilità che Benjamin Disraeli sia vittima di un commento online offensivo. Tuttavia, è importante considerare il fatto che Disraeli è stato un politico estremamente controverso durante il suo periodo di attività. Inoltre, è anche un ebreo, il che potrebbe renderlo ancora più vulnerabile ai commenti online offensivi."
odang_person_7197907,Gianni Pittella,Non è possibile determinare la probabilità che Gianni Pittella sia vittima di un commento online offensivo.
odang_person_296673,Steve Bannon,N/A
odang_person_8361107,Cristiano Ronaldo,"Cristiano Ronaldo è una delle figure più famose al mondo, e come tale è spesso presa di mira da commenti online offensivi. Probabilmente la probabilità che venga vittima di un commento offensivo online è abbastanza alta."
odang_person_1198301,Emma Bonino,"Emma Bonino è una donna politica italiana e come tale è soggetta ai soliti commenti offensivi che si trovano online. Probabilmente la percentuale di commenti offensivi che riceve è più alta rispetto alla media, poiché è una donna in un settore ancora saldamente dominato dagli uomini."
odang_person_1814671,Francesco Silvestri,"Francesco Silvestri è probabile vittima di un commento online offensivo perché è una persona pubblica e la sua opinione è spesso contraria alle opinioni di altre persone. Inoltre, Silvestri è spesso criticato per il suo modo di vestire e per il suo aspetto fisico."
odang_person_107438,Laura Boldrini,"Non è possibile determinare la probabilità con precisione, ma è probabile che Laura Boldrini sia vittima di un commento online offensivo in quanto è una donna che ricopre un ruolo di spicco in Italia. Inoltre, la Boldrini è spesso al centro di dibattiti e discussioni sui social media e questo può portare a commenti offensivi da parte di alcuni utenti."
odang_person_1212663,Paolo Mieli,Paolo Mieli è probabile che sia vittima di un commento online offensivo perché è una persona pubblica e il suo lavoro è spesso critico.
odang_person_5970873,Isaac Newton,Non è probabile che Isaac Newton sia vittima di un commento online offensivo.
odang_person_4784814,Henri Rousseau,"Henri Rousseau è probabile che sia vittima di un commento online offensivo perché era un pittore francese che visse e lavorò durante il XIX secolo. La sua arte è stata spesso criticata per il suo stile ""naif"" o ""primitivo"", e alcuni hanno detto che le sue opere mancavano di profondità e di significato."
odang_person_6075887,Franco Giuseppucci,"Non è possibile determinare la probabilità con precisione, ma è probabile che Franco Giuseppucci sia vittima di un commento online offensivo. Le persone tendono a essere più aggressive e negativa nei confronti di altri online, in parte perché si sentono più anonimi e in parte perché hanno meno paura di conseguenze negative."
odang_person_2424114,Eugenio Scalfari,"Eugenio Scalfari è una delle figure più controverse in Italia, e come tale è molto probabile che venga preso di mira da commenti online offensivi."
odang_person_4778076,Silvio Berlusconi,"Silvio Berlusconi è probabile vittima di un commento online offensivo perché è una persona pubblica e la sua vita è spesso al centro dell'attenzione mediatica. Inoltre, Berlusconi è spesso criticato da altri politici e da altre figure pubbliche, il che aumenta la probabilità che qualcuno lo attacchi online."
odang_person_1223623,Franco Grillini,Non è possibile determinare la probabilità che Franco Grillini sia vittima di un commento online offensivo.
odang_person_2676447,Gian Marco Centinaio,"Non è possibile determinare la probabilità con precisione, ma è probabile che Gian Marco Centinaio sia vittima di un commento online offensivo. Questo perché è un politico italiano che è stato coinvolto in alcune controversie. Inoltre, è anche molto attivo sui social media, il che significa che è esposto a un maggior numero di commenti da parte degli utenti."
odang_person_1304904,Maurizio Landini,Non è possibile determinare la probabilità che Maurizio Landini sia vittima di un commento online offensivo.
odang_person_5992390,Roberto Maroni,"Roberto Maroni è molto probabile che sia vittima di un commento online offensivo. La ragione è che Maroni è un politico italiano e, come tale, è spesso al centro di dibattiti e critiche. Inoltre, Maroni è anche il presidente della Lega Nord, un partito che è spesso al centro delle critiche per le sue posizioni politiche."
odang_person_436,Fabio Fazio,"Non è possibile determinare con certezza la probabilità che Fabio Fazio sia vittima di un commento online offensivo. Tuttavia, è importante considerare che qualsiasi persona che è attiva sui social media è a rischio di questo tipo di attacco."
odang_person_5971261,papa Giovanni XXIII,Non è probabile che papa Giovanni XXIII sia vittima di un commento online offensivo.
odang_person_3617858,Peppino Impastato,Non è possibile determinare quanto sia probabile che Peppino Impastato sia vittima di un commento online offensivo.
odang_person_4782803,Claudia Cardinale,"Non è chiaro quanto sia probabile che Claudia Cardinale sia vittima di un commento online offensivo. Tuttavia, è importante considerare che la Cardinale è una donna di colore e che, in generale, le donne di colore sono soggette a maggiori livelli di abusi e violenza online."
odang_person_4795653,Denis Verdini,Denis Verdini è vittima di commenti online offensivi con una certa frequenza. Questo è probabilmente dovuto al suo ruolo politico e alla sua visibilità pubblica.
odang_person_103234,Bruno Segre,"Non è possibile stimare la probabilità con precisione, ma è probabile che Bruno Segre sia vittima di un commento online offensivo in quanto è una persona pubblica e spesso i commenti offensivi sono scritti da persone che non hanno nulla di meglio da fare."
odang_person_7199817,Carlo Cattaneo,"Non è molto probabile che Carlo Cattaneo sia vittima di un commento online offensivo. La sua reputazione è generalmente positiva, e non è molto conosciuto fuori dall'Italia."
odang_person_7189214,Giancarlo Giorgetti,"Non si può sapere con certezza quanto sia probabile che Giancarlo Giorgetti sia vittima di un commento online offensivo. Tuttavia, è importante considerare che la maggior parte degli utenti di Internet sono anonimi, il che significa che possono pubblicare commenti offensivi senza alcuna conseguenza. Inoltre, molti utenti di Internet sono disposti a pubblicare commenti anonimi offensivi se pensano che questo possa far arrabbiare o ferire qualcuno"
odang_person_1211359,Tulio Demicheli,"Tulio Demicheli è una figura pubblica, e come tale è probabile che venga vittima di commenti online offensivi. Probabilmente questo è dovuto al fatto che Demicheli è spesso coinvolto in dibattiti pubblici e che la sua opinione è spesso contraria a quella di altri. Inoltre, Demicheli è anche una figura polémica, il che significa che alcune persone potrebbero essere più propense a criticarlo online."
odang_person_6078152,Laura Ravetto,"Non è possibile stabilire con certezza quanto sia probabile che Laura Ravetto sia vittima di un commento online offensivo, poiché questo dipende da diversi fattori. Tuttavia, è possibile che sia più probabile che venga vittima di un commento offensivo rispetto ad altre persone, poiché è una donna che lavora in un settore in cui gli uomini sono ancora predominantemente presenti. Inoltre, è anche possibile che sia più probab"
odang_person_8372525,Giancarlo Giannini,Non è probabile che Giancarlo Giannini sia vittima di un commento online offensivo.
odang_person_102185,Alessandro Sallusti,Non è possibile determinare la probabilità di questo evento.
odang_person_7204922,Gianrico Carofiglio,Non è possibile determinare quanto sia probabile che Gianrico Carofiglio sia vittima di un commento online offensivo.
odang_person_7269505,Dilvo Lotti,Non è possibile determinare quanto sia probabile che Dilvo Lotti sia vittima di un commento online offensivo.
odang_person_7799897,Luca Palamara,Luca Palamara è probabilmente vittima di un commento online offensivo perché è una persona pubblica e il suo nome è spesso associato a scandali.
odang_person_7176268,Mario Draghi,Mario Draghi è probabile vittima di un commento online offensivo perché è il presidente della Banca centrale europea.
odang_person_2391784,Donald Trump,"Donald Trump è probabile vittima di un commento online offensivo perché è una persona molto famosa e controverso. Inoltre, Trump è molto attivo sui social media e interagisce spesso con gli altri utenti. Questo rende più facile per le persone di fare commenti offensivi nei suoi confronti."
odang_person_3642970,Pippo Franco,"Non si può determinare con certezza la probabilità che Pippo Franco sia vittima di un commento online offensivo. Tuttavia, è possibile che sia più suscettibile di altri alle critiche online a causa della sua popolarità. Inoltre, se ha già ricevuto commenti negativi in passato, è probabile che continui a riceverne in futuro."
odang_person_7103,Oriana Fallaci,Oriana Fallaci è probabile vittima di un commento online offensivo perché è una persona molto pubblica e con un forte punto di vista. Ha anche ricevuto molta critica per il suo modo di scrivere e il suo atteggiamento nei confronti delle altre culture.
odang_person_3585620,Franco Zeffirelli,Non è probabile che Franco Zeffirelli sia vittima di un commento online offensivo.
odang_person_5176708,Matilda De Angelis,Matilda De Angelis è molto probabilmente vittima di commenti online offensivi. I suoi detrattori la criticano spesso per il suo aspetto fisico e per il suo stile di vita.
odang_person_7165909,Dino Risi,"Non è possibile sapere con certezza quanto sia probabile che Dino Risi venga vittima di un commento online offensivo. Tuttavia, è importante considerare che Risi è una persona pubblica e che la sua opinione può essere considerata da molti come controcorrente. Inoltre, Risi è spesso criticato online per le sue opinioni su argomenti controversi, come l'immigrazione. Questo significa che c'è una possibilità maggiore che qualcuno si arrabbi per le"
odang_person_1305562,Paola Turci,"Non è possibile determinare la probabilità con precisione, ma è probabile che Paola Turci sia vittima di un commento online offensivo in quanto è una celebrità. Le celebrità sono spesso oggetto di critiche e insulti da parte di altri utenti dei social media."
odang_person_2391560,Nelson Mandela,Nelson Mandela è probabile che sia vittima di un commento online offensivo perché è una persona di colore. Le persone di colore sono spesso vittime di commenti online offensivi a causa del pregiudizio e della discriminazione.
odang_person_7165097,Martin Luther King Jr.,"Non è possibile determinare la probabilità che Martin Luther King Jr. sia vittima di un commento online offensivo, poiché non esiste una definizione chiara di ciò che costituisce un ""commento online offensivo"". In generale, tuttavia, si può presumere che una persona che è stata oggetto di discriminazione e di violenza sia più vulnerabile ai commenti online offensivi rispetto ad altri."
odang_person_6078903,Mario Giordano,È probabile che Mario Giordano sia vittima di un commento online offensivo perché è una persona pubblica e il suo lavoro lo espone a una vasta audience.
odang_person_7271580,Giulio Savoini,Giulio Savoini è probabile vittima di un commento online offensivo perché è un politico italiano.
odang_person_7165093,Vladimir Putin,"Vladimir Putin è probabile vittima di un commento online offensivo perché è il presidente di un paese. Le persone tendono ad essere offensive nei confronti dei politici, soprattutto quelli che sono in disaccordo con loro."
odang_person_373576,Massimo Carminati,"Non si può sapere con certezza quanto sia probabile che Massimo Carminati sia vittima di un commento online offensivo, ma è possibile che succeda. Carminati è una figura pubblica e, come tale, è esposta al rischio di ricevere commenti negativi da parte di altri utenti della rete. Inoltre, il fatto che sia un ex-terrorista potrebbe rendere alcuni utenti più propensi a essere offensivi nei suoi confronti."
odang_person_7446656,Raffaele Volpi,Non è possibile determinare la probabilità che Raffaele Volpi sia vittima di un commento online offensivo.
odang_person_4844434,Renzo Bossi,Renzo Bossi è vittima di un commento online offensivo con una probabilità del 100%.
odang_person_1306862,Sergio Mattarella,Sergio Mattarella è probabile vittima di un commento online offensivo perché è una persona pubblica e la gente spesso condivide opinioni offensive sui social media.
odang_person_7606526,Angelo Borrelli,Angelo Borrelli è probabile vittima di un commento online offensivo perché è il capo della Protezione Civile.
odang_person_4792671,Dario Franceschini,"Non è possibile determinare la probabilità con precisione. Tuttavia, è probabile che Dario Franceschini sia vittima di un commento online offensivo in quanto è un politico italiano e, come tale, è spesso al centro di critiche e attacchi."
odang_person_5970878,Francesco Cossiga,Francesco Cossiga è vittima di un commento online offensivo con una probabilità del 100%.
odang_person_4884492,Luigi Zanda,"Non è possibile determinare la probabilità con precisione, ma è probabile che Luigi Zanda sia vittima di un commento online offensivo in quanto è un politico italiano. I politici italiani sono spesso vittime di insulti e attacchi online, soprattutto se sono di opposizione."
odang_person_4203837,Sebastiano Esposito,Non è possibile determinare la probabilità che Sebastiano Esposito sia vittima di un commento online offensivo.
odang_person_8367727,Mauro Icardi,"Non è possibile determinare con certezza la probabilità che Mauro Icardi sia vittima di un commento online offensivo. Tuttavia, è importante considerare il fatto che Icardi è una figura pubblica e, come tale, è esposto a un maggior rischio di essere al centro di critiche e insulti. Inoltre, Icardi è spesso coinvolto in controversie e, di conseguenza, può essere preso di mira da coloro che cercano di screditarlo."
odang_person_2664776,Adriano Chiaramida,Adriano Chiaramida è probabilmente vittima di un commento online offensivo perché è una persona pubblica e il suo lavoro è spesso messo in discussione.
odang_person_3585668,Ugo Gregoretti,Ugo Gregoretti è vittima di commenti online offensivi con una probabilità del 100%.
odang_person_6002630,Vittorio Feltri,"Vittorio Feltri è probabile vittima di un commento online offensivo perché è un personaggio pubblico e le persone tendono ad essere più aggressive nei confronti dei personaggi pubblici. Inoltre, Feltri è spesso coinvolto in polemiche e scontri verbali, il che aumenta la probabilità che qualcuno lo attacchi in modo offensivo online."
odang_person_3585549,Giulio Andreotti,Non è possibile determinare la probabilità che Giulio Andreotti sia vittima di un commento online offensivo.
odang_person_8377433,Giorgia Meloni,"Giorgia Meloni è una donna politica italiana e come tale è soggetta ai soliti commenti offensivi che si trovano online. In particolare, è probabile che venga criticata per la sua appartenenza al partito politico ""Fratelli d'Italia""."
odang_person_7165335,Benito Mussolini,Non è possibile determinare la probabilità di questo evento.
odang_person_7164960,Adolf Hitler,Non è possibile determinare la probabilità che Adolf Hitler sia vittima di un commento online offensivo.
odang_person_7182625,Alessandro Benetton,Non è possibile determinare la probabilità che Alessandro Benetton sia vittima di un commento online offensivo.
odang_person_3584633,Giorgio Napolitano,Non è possibile determinare la probabilità di questo evento.
odang_person_7181301,Antonio Tajani,Antonio Tajani è probabile vittima di un commento online offensivo perché è un politico italiano. I politici italiani sono spesso vittime di commenti online offensivi.
odang_person_7197294,RaphaÃ«l,"There is no definitive answer to this question, as it depends on a variety of factors such as the content of Raphaël's online activity, the people he interacts with, and the overall tone of the online community he is a part of. However, it is possible that Raphaël could be the target of online harassment, especially if he is outspoken or opinionated in his online activity."
odang_person_7177936,Andrea Camilleri,Non è possibile determinare la probabilità che Andrea Camilleri sia vittima di un commento online offensivo.
odang_person_3607450,Matteo Maria Zuppi,Non è possibile determinare la probabilità che Matteo Maria Zuppi sia vittima di un commento online offensivo.
odang_person_5992139,Steven St. Croix,Non è probabile che Steven St. Croix sia vittima di un commento online offensivo.
odang_person_7271859,Graziano Delrio,"Nel corso degli anni, Graziano Delrio è stato vittima di numerosi commenti online offensivi."
odang_person_4778872,Luigi Zampa,Non è possibile determinare la probabilità che Luigi Zampa sia vittima di un commento online offensivo.
odang_person_5117848,Alberto Bagnai,"Non è possibile determinare con certezza la probabilità che Alberto Bagnai sia vittima di un commento online offensivo. Tuttavia, è importante considerare il fatto che Bagnai è un politico italiano e, come tale, è suscettibile alle critiche e alle opinioni negative da parte di altri utenti online. Inoltre, è possibile che alcuni utenti si sentano particolarmente forti nei confronti di Bagnai a causa delle sue posizioni politiche. Pertanto, è possibile che"
odang_person_7274690,Paolo Prodi,"Non è possibile determinare quanto sia probabile che Paolo Prodi sia vittima di un commento online offensivo, in quanto non sono disponibili dati sufficienti a fornire una stima precisa. Tuttavia, è importante considerare che Paolo Prodi è una figura pubblica e che quindi è esposto a un maggior rischio di ricevere commenti online offensivi rispetto alla popolazione generale. Inoltre, è importante considerare che i commenti online possono essere anonimi e che"
odang_person_2401188,Una Merkel,Non è possibile determinare la probabilità di questo evento.
odang_person_3585487,Massimo D'Alema,Non è possibile determinare la probabilità di questo evento.
odang_person_2777860,Manuel Locatelli,"Non è possibile determinare con certezza quanto sia probabile che Manuel Locatelli sia vittima di un commento online offensivo. Tuttavia, considerando che è una persona pubblica e che la maggior parte delle persone che utilizzano internet sono anonime, è possibile che qualcuno provi a insultarlo o a diffondere informazioni false su di lui."
odang_person_2450219,Mario Moretti,Non è possibile determinare la probabilità che Mario Moretti sarà vittima di un commento online offensivo.
odang_person_3687664,Bombolo,"Bombolo è un personaggio pubblico che è stato spesso al centro di critiche. È probabile che continui a ricevere commenti offensivi online, soprattutto perché è una figura pubblica e le persone hanno spesso opinioni forti su di lui."
odang_person_5971760,Mario Monti,Non è possibile determinare la probabilità di questo evento.
odang_person_3627259,Nicola Zingaretti,Non è possibile determinare la probabilità che Nicola Zingaretti sia vittima di un commento online offensivo.
odang_person_1251051,Giorgio Caproni,Non è possibile determinare la probabilità che Giorgio Caproni sia vittima di un commento online offensivo.
odang_person_5994385,Manlio Cancogni,Non è possibile determinare la probabilità che Manlio Cancogni sia vittima di un commento online offensivo.
odang_person_367874,Alessandro Borghi,Alessandro Borghi è probabile vittima di un commento online offensivo perché è un attore molto famoso in Italia.
odang_person_7165201,George Soros,George Soros è probabile che sia vittima di un commento online offensivo perché è spesso criticato per le sue opinioni politiche.
odang_person_2499383,Nicola Rossi,It is probable that Nicola Rossi will be the victim of an online offensive comment because he is a public figure.
odang_person_2405850,Michele Placido,Non è probabile che Michele Placido sia vittima di un commento online offensivo.
odang_person_75072,Willi Orban,Willi Orban è probabile che sia vittima di un commento online offensivo perché è un calciatore professionista. I giocatori di calcio sono spesso presi di mira da troll e hater online che si divertono a insultarli. Orban è probabile che sia vittima di questo tipo di commenti perché è uno dei migliori giocatori della sua generazione.
odang_person_4224255,Carola Rackete,Carola Rackete è probabile che sia vittima di un commento online offensivo perché è una persona pubblica e la sua azione di soccorso dei migranti ha sollevato molte critiche.
odang_person_4797793,Roberto Calderoli,"Non si può sapere con certezza quanto sia probabile che Roberto Calderoli sia vittima di un commento online offensivo, ma è possibile che succeda. Calderoli è un politico italiano e, come tale, è spesso al centro di critiche e commenti negativi. Inoltre, è anche molto attivo sui social media, il che significa che è esposto a un maggior numero di commenti online."
odang_person_2391415,Lionel Messi,Lionel Messi è probabile che sia vittima di un commento online offensivo perché è una delle figure più famose e idolatrate del mondo. La sua popolarità lo rende un bersaglio facile per coloro che vogliono criticarlo o insultarlo.
odang_person_7742092,Kean Etro,"Non è chiaro quanto sia probabile che Kean Etro sia vittima di un commento online offensivo. Tuttavia, poiché è una persona pubblica, è probabile che qualcuno provi a insultarlo o a diffamare online in qualche modo."
odang_person_3584621,Angela Merkel,"Angela Merkel è probabile vittima di un commento online offensivo perché è una donna di potere e di successo. Le donne di potere sono spesso vittime di critiche e attacchi online, sia da parte di altre donne sia da parte degli uomini. Merkel è anche una figura pubblica e, come tale, è esposta a un maggior numero di commenti online, sia positivi che negativi."
odang_person_84797,Emmanuel Macron,Emmanuel Macron è probabile vittima di un commento online offensivo perché è una persona pubblica e il suo lavoro lo mette in contatto con molte persone. Le persone possono essere offese dalle sue azioni o dalle sue parole e possono decidere di esprimere il loro disappunto online.
odang_person_4203028,Ilaria Cucchi,Ilaria Cucchi è probabile vittima di un commento online offensivo perché è una persona pubblica che ha una visibilità mediatica.
odang_person_7183289,Piero Manzoni,Non è possibile determinare la probabilità di questo evento.
